day_succ,Status,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,curr1,curr2,curr3,curr4,curr5,curr6,goal,backers,pledged,duration,updates,comments,rewards,facebook_connected,facebook_friends,facebook_shares,has_video,creator_projects_created,creator_projects_backed,videos,images,words_description,words_risks_and_challenges,faqs,prj_prom,crt_suc_perc,usr_net_pg_rnk,usr_net_nodes,usr_net_tie,usr_net_bic,1f_plg,1f_bck,1prj_prom,2f_plg,2f_bck,2prj_prom,3f_plg,3f_bck,3prj_prom
27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0308713559,1.0035329727,0.5444634059,-0.1404980359,0.2937233103,-0.0557113157,0.3305970483,1,4.8507313419,3.5845397773,1,-0.2044518859,0,-0.2572658087,0.1065812212,0.6718497534,2.5885203894,-0.3321085911,5.0400641944,-0.5154235036,2.8675195584,5.8609176778,5.4990576784,4.6749425584,-0.247904194,-0.035458347,1.0002636872,-0.2440024372,-0.027017414,-0.2808881387,-0.2591851732,-0.0161991448,0.5803953381
46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0283850043,-0.1817017794,-0.133806041,1.4500731357,0.1132337079,-0.0632170388,1.179276446,1,-0.3299224864,0.0806702544,1,-0.2044518859,0,-0.2572658087,-0.672638512,1.5098297682,-0.0682818402,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.165460689,0,-0.306994685,-0.1624832805,0,-0.3135547047,-0.1650130579,0
21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0303602163,-0.0207244895,-0.0824501889,-0.1404980359,0.8351921176,-0.0538348849,0.3305970483,1,0.2697094589,-0.0194066641,1,-0.2044518859,0,0.8838742446,-0.3804311121,0.0038697827,0.0140996243,0.1561768582,0.0078710587,-0.5154235036,0.0794746134,0.1394980518,0.0908413745,0.2875064363,-0.1987427028,-0.1380917749,0.1567217313,-0.2188055381,-0.1424142633,-0.2808881387,-0.1286982975,-0.1139911449,-0.2587522448
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0152169243,-0.2116877452,-0.1390958594,-0.1404980359,-0.4282350994,-0.0632170388,-0.5180823494,1,-0.3257679926,-0.1512727215,1,0.1888652828,-0.1643263052,-0.2572658087,-0.672638512,-0.4786555947,-0.1300679385,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.179145146,0,-0.3195931345,-0.1775350435,0,-0.324428611,-0.1735167101,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0326646303,-0.1895928231,-0.1310400395,-0.1404980359,-0.6087247018,-0.0632170388,0.1608611688,1,-0.4670207834,-0.1375366738,1,0.1888652828,0,-0.2572658087,-0.4778335787,-0.6898677705,-0.9332872173,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.179145146,0,-0.2817977859,-0.1725177892,0,-0.2700590795,-0.1650130579,0
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0297018123,-0.1375119351,-0.1214163939,-0.3393194324,-0.0672558945,-0.0632170388,-0.3483464699,1,0.0730634168,-0.0920114874,1,-0.2044518859,2.7853987007,-0.2572658087,0.1065812212,1.305486281,0.477495362,-0.3321085911,0.0078710587,-0.5154235036,0.0794746134,0.2275198922,0.0187318238,0.6531261132,-0.1987427028,-0.0833539467,1.8438056431,-0.2188055381,-0.0922417201,0.2223906386,-0.2048156416,-0.0969838405,-0.2587522448
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0275962363,-0.1769671533,-0.1127742326,-0.1404980359,-0.247745497,-0.0632170388,-1.027289988,1,-0.1291219505,-0.1230157092,1,-0.2044518859,-0.0530159276,-0.2572658087,-0.672638512,-0.4305747742,0.127374138,0.6444623074,0,-0.5154235036,0,0,0,0,-0.247904194,-0.1586184604,0,-0.2691993363,-0.1574660262,0,-0.2809329858,-0.1607612318,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.0345081615,-0.1817017794,-0.1342521702,-0.1404980359,-0.4282350994,-0.0594641772,-1.3667617471,1,0.1741561004,-0.1449933854,0,-0.2044518859,-0.1643263052,-0.2572658087,-0.3804311121,-0.8615849867,-0.6552497746,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.247904194,-0.1723029175,0,-0.2691993363,-0.1725177892,0,-0.2809329858,-0.1735167101,0
8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0323354283,-0.023880907,-0.0988295063,-0.1404980359,-0.6087247018,-0.0632170388,-0.1786105903,0,0,-0.0402069648,0,-0.2044518859,-0.1643263052,-0.2572658087,-0.5752360454,-0.5576455141,-0.6552497746,-0.3321085911,0.0078710587,-0.5154235036,0.0794746134,0.1394980518,0.235060476,0.1046965979,-0.1659683754,-0.0970384037,-0.2650492466,-0.0928210425,-0.107293483,-0.2808881387,-0.0634548597,-0.0927320144,-0.2587522448
35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0218009643,-0.1974838667,-0.1342521702,0.3565554552,-0.0672558945,-0.0632170388,0.1608611688,1,-0.1471247571,-0.0912265704,1,-0.2044518859,-0.1086711164,-0.2572658087,-0.5752360454,-0.2863323126,0.1479695041,0.1561768582,0,2.1658445239,0,0,0,0,-0.2970656851,-0.165460689,0,-0.2817977859,-0.1524487719,0,-0.2918068921,-0.1565094058,0
